cycle_idx,q_NS_ema,q_EW_ema,ns_delay_prev,ew_delay_prev,prev_split,prev_cycle,s_star,C_star
1,0.0,0.0,0.0,0.0,0.5,90,0.6151413074759501,90.01407760486757
2,26.4,26.7,88,89,0.6151413074759501,90.01407760486757,0.6755603420647313,116.7244095765515
3,101.28,93.69,276,250,0.6755603420647313,116.7244095765515,0.5739819325259011,77.13755999259948
4,115.596,109.68299999999999,149,147,0.5739819325259011,77.13755999259948,0.43998026379977284,63.38230965057198
5,114.5172,112.7781,112,120,0.43998026379977284,63.38230965057198,0.5349454016676437,67.67522075195546
6,133.86203999999998,138.64467,179,199,0.5349454016676437,67.67522075195546,0.5074122481222337,114.03698520882854
7,195.10342799999995,199.65126899999998,338,342,0.5074122481222337,114.03698520882854,0.6142882085241609,93.2124627433186
8,186.37239959999994,188.6558883,166,163,0.6142882085241609,93.2124627433186,0.40018483500889573,90.00485403637107
9,185.66067971999993,186.95912181,184,183,0.40018483500889573,90.00485403637107,0.41142267322772,65.5474879773288
10,175.56247580399994,177.371385267,152,155,0.41142267322772,65.5474879773288,0.685359762091373,75.15560626491913
11,166.99373306279995,168.85996968689997,147,149,0.685359762091373,75.15560626491913,0.6387566738895532,78.96767977004328
12,146.29561314395994,150.00197878082997,98,106,0.6387566738895532,78.96767977004328,0.6820775897729938,76.44884181915513
13,146.50692920077196,148.20138514658098,147,144,0.6820775897729938,76.44884181915513,0.41678937607276845,82.7943816471024
14,161.35485044054036,166.14096960260667,196,208,0.41678937607276845,82.7943816471024,0.5117337703460128,76.71294165140247
15,175.64839530837824,181.09867872182465,209,216,0.5117337703460128,76.71294165140247,0.6066568214403832,110.92611593935564
16,196.45387671586477,201.16907510527724,245,248,0.6066568214403832,110.92611593935564,0.6758035288825823,66.52316976304334
17,160.91771370110533,166.61835257369407,78,86,0.6758035288825823,66.52316976304334,0.6199583024758386,75.6093969411147
18,140.54239959077373,143.93284680158584,93,91,0.6199583024758386,75.6093969411147,0.51103742923377,75.77919659848384
19,131.0796797135416,134.35299276111007,109,112,0.51103742923377,75.77919659848384,0.635671491556037,65.69921098484616
20,127.45577579947911,130.94709493277705,119,123,0.635671491556037,65.69921098484616,0.4621597439957589,90.40220357729144
21,164.21904305963537,166.36296645294394,250,249,0.4621597439957589,90.40220357729144,0.6220299182208154,68.97540741575422
22,159.95333014174474,163.85407651706075,150,158,0.6220299182208154,68.97540741575422,0.6371327847758241,81.13239819150995
23,160.2673310992213,164.1978535619425,161,165,0.6371327847758241,81.13239819150995,0.6120055564194311,76.10755897649337
24,166.7871317694549,169.83849749335974,182,183,0.6120055564194311,76.10755897649337,0.6120055564194311,76.10755897649337
25,174.05099223861842,175.5869482453518,191,189,0.6120055564194311,76.10755897649337,0.5809961771382968,80.38611192999096
26,204.0356945670329,206.91086377174625,274,280,0.5809961771382968,80.38611192999096,0.48008413391328864,106.62573203241787
27,234.92498619692302,231.23760464022234,307,288,0.48008413391328864,106.62573203241787,0.4789304859894688,68.34612369459919
28,223.54749033784609,220.96632324815562,197,197,0.4789304859894688,68.34612369459919,0.5484145295181857,113.05738743552945
29,301.08324323649225,307.9764262737089,482,511,0.5484145295181857,113.05738743552945,0.36144310983504874,97.59959125504787
30,291.15827026554456,299.28349839159625,268,279,0.36144310983504874,97.59959125504787,0.6798289318483779,69.92004170149886
31,236.2107891858812,243.69844887411736,108,114,0.6798289318483779,69.92004170149886,0.6331904483778061,69.49252130108195
32,197.44755243011682,203.58891421188216,107,110,0.6331904483778061,69.49252130108195,0.5706051106583098,94.35369731515141
33,204.21328670108176,207.6122399483175,220,217,0.5706051106583098,94.35369731515141,0.6274626590060421,81.63363186422497
34,191.5493006907572,205.6285679638222,162,201,0.6274626590060421,81.63363186422497,0.6394019681283873,98.57143183472066
35,194.38451048353005,203.03999757467554,201,197,0.6394019681283873,98.57143183472066,0.6511847900439487,73.29300680846094
36,179.26915733847102,186.82799830227285,144,149,0.6511847900439487,73.29300680846094,0.6118037228970339,73.26877665510948
37,176.7884101369297,181.77959881159097,171,170,0.6118037228970339,73.26877665510948,0.4279160866291719,73.09317187227656
38,172.0518870958508,176.44571916811367,161,164,0.4279160866291719,73.09317187227656,0.43553556337217725,73.34956830871756
39,192.13632096709554,195.51200341767958,239,240,0.43553556337217725,73.34956830871756,0.6822838167538219,98.52315139922491
40,217.89542467696685,224.1584023923757,278,291,0.6822838167538219,98.52315139922491,0.6645132168841952,71.16284289000754
41,188.82679727387676,193.21088167466297,121,121,0.6645132168841952,71.16284289000754,0.6874857445742972,92.64313995414132
42,178.9787580917137,178.44761717226405,156,144,0.6874857445742972,92.64313995414132,0.5673103535849678,103.8618570109495
43,191.88513066419958,209.81333202058482,222,283,0.5673103535849678,103.8618570109495,0.43290805935750964,115.00027406009309
44,301.4195914649397,316.96933241440934,557,567,0.43290805935750964,115.00027406009309,0.5895065670882346,94.54392141505136
45,303.39371402545777,318.1785326900865,308,321,0.5895065670882346,94.54392141505136,0.6832639873289712,65.99219753398376
46,269.07559981782043,248.52497288306057,189,86,0.6832639873289712,65.99219753398376,0.6226803432151354,118.54881913075899
47,328.1529198724743,309.26748101814235,466,451,0.6226803432151354,118.54881913075899,0.5763065212676315,85.20962256168976
48,314.907043910732,300.18723671269964,284,279,0.5763065212676315,85.20962256168976,0.5589149441553004,95.0339473492638
49,305.9349307375124,294.7310656988897,285,282,0.5589149441553004,95.0339473492638,0.3539634243560138,61.58381904617212
50,247.75445151625865,253.4117459892228,112,157,0.3539634243560138,61.58381904617212,0.5919907840196506,61.84594563165729
51,216.32811606138105,223.58822219245593,143,154,0.5919907840196506,61.84594563165729,0.6252856012291393,68.02609475065667
52,213.52968124296672,220.71175553471915,207,214,0.6252856012291393,68.02609475065667,0.6398533466044287,67.91332238498715
53,220.87077687007667,228.2982288743034,238,246,0.6398533466044287,67.91332238498715,0.5434377382291911,112.7106461400621
54,243.40954380905367,252.20876021201235,296,308,0.5434377382291911,112.7106461400621,0.5332838801052429,71.27138554718415
55,202.48668066633755,211.04613214840865,107,115,0.5332838801052429,71.27138554718415,0.6759746581530375,67.00791754671032
56,197.84067646643626,180.43229250388603,187,109,0.6759746581530375,67.00791754671032,0.6435856920003173,63.67590591076268
57,173.58847352650537,163.20260475272022,117,123,0.6435856920003173,63.67590591076268,0.4544342654195466,76.75306138594533
58,198.31193146855375,191.64182332690413,256,258,0.4544342654195466,76.75306138594533,0.5626426110336488,102.01575671289909
59,264.5183520279876,265.5492763288329,419,438,0.5626426110336488,102.01575671289909,0.6275665174683605,75.16399595886449
60,249.6628464195913,241.984493430183,215,187,0.6275665174683605,75.16399595886449,0.6688209192390153,64.7466208088186
61,216.46399249371387,213.48914540112807,139,147,0.6688209192390153,64.7466208088186,0.6873389329693126,75.89195328212753
62,208.2247947455997,208.24240178078963,189,196,0.6873389329693126,75.89195328212753,0.5526574683664426,61.710938512652895
63,224.9573563219198,223.76968124655272,264,260,0.5526574683664426,61.710938512652895,0.5526574683664426,99.84342502037987
64,263.6701494253439,273.0387768725869,354,388,0.5526574683664426,99.84342502037987,0.5173987474218151,68.91136413708145
65,261.9691045977407,273.9271438108108,258,276,0.5173987474218151,68.91136413708145,0.5940694581025687,101.05269726742374
66,280.27837321841844,292.54900066756755,323,336,0.5940694581025687,101.05269726742374,0.6380795546846854,101.33074092246517
67,313.1948612528929,322.3843004672973,390,392,0.6380795546846854,101.33074092246517,0.6119261644409337,68.89293893324935
68,272.63640287702503,281.7690103271081,178,187,0.6119261644409337,68.89293893324935,0.5333124326209323,106.86726336879754
69,398.1454820139175,406.3383072289756,691,697,0.5333124326209323,106.86726336879754,0.4748653682613554,90.99307079484032
70,410.7018374097422,420.9368150602829,440,455,0.4748653682613554,90.99307079484032,0.4179663981155848,94.2597167716876
71,451.5912861868195,456.05577054219805,547,538,0.4179663981155848,94.2597167716876,0.6412530868002977,109.55069104012352
72,541.1139003307736,559.8390393795386,750,802,0.6412530868002977,109.55069104012352,0.646065281923371,88.88785994231891
73,558.4797302315415,590.487327565677,599,662,0.646065281923371,88.88785994231891,0.646065281923371,88.88785994231891
74,510.635811162079,538.1411292959739,399,416,0.646065281923371,88.88785994231891,0.6775999464721516,119.60242510144457
75,558.1450678134553,587.5987905071817,669,703,0.6775999464721516,119.60242510144457,0.6672971532317195,119.84584909173192
76,535.9015474694187,581.4191533550271,484,567,0.6672971532317195,119.84584909173192,0.6838503475721391,104.91407344486827
77,605.8310832285931,633.1934073485189,769,754,0.6838503475721391,104.91407344486827,0.6178045733253774,102.09397039570949
78,658.9817582600151,679.3353851439632,783,787,0.6178045733253774,102.09397039570949,0.581326214302167,93.72762871944893
79,603.4872307820106,624.0347696007742,474,495,0.581326214302167,93.72762871944893,0.563390587079877,72.54661398236041
80,543.9410615474073,564.0243387205419,405,424,0.563390587079877,72.54661398236041,0.6336116945829426,94.7643378629302
81,576.958743083185,585.3170371043793,654,635,0.6336116945829426,94.7643378629302,0.4236718120317845,86.8561876205668
82,593.1711201582294,586.4219259730655,631,589,0.4236718120317845,86.8561876205668,0.5745505089338633,101.08105317565193
83,652.5197841107606,650.7953481811459,791,801,0.5745505089338633,101.08105317565193,0.5430085940025445,70.27283161845656
84,600.4638488775324,607.356743726802,479,506,0.5430085940025445,70.27283161845656,0.5026694630470367,94.55306259764723
85,613.2246942142726,615.0497206087614,643,633,0.5026694630470367,94.55306259764723,0.6016242360573716,68.95731771900084
86,563.9572859499908,567.9348044261329,449,458,0.6016242360573716,68.95731771900084,0.6812589330579026,63.06762046636064
87,527.6701001649935,524.1543630982931,443,422,0.6812589330579026,63.06762046636064,0.6812589330579026,63.06762046636064
88,494.7690701154954,491.4080541688051,418,415,0.6812589330579026,63.06762046636064,0.6089758216951411,104.84070045299434
89,546.7383490808468,547.0856379181636,668,677,0.6089758216951411,104.84070045299434,0.5888020725238733,67.82426718055952
90,523.7168443565927,532.0599465427144,470,497,0.5888020725238733,67.82426718055952,0.6362935987703926,67.82426718055952
91,518.1017910496148,532.6419625799001,505,534,0.6362935987703926,67.82426718055952,0.6362935987703926,67.82426718055952
92,502.1712537347303,527.94937380593,465,517,0.6362935987703926,67.82426718055952,0.5281859803850499,75.733939295748
93,534.8198776143112,564.264561664151,611,649,0.5281859803850499,75.733939295748,0.669416883310256,101.38995171434838
94,621.5739143300177,636.7851931649056,824,806,0.669416883310256,101.38995171434838,0.682751648932837,85.56639653057694
95,623.8017400310123,632.6496352154339,629,623,0.682751648932837,85.56639653057694,0.6812753504733908,71.74614130589336
96,574.6612180217086,585.9547446508037,460,477,0.6812753504733908,71.74614130589336,0.6805573018152955,110.64073695400273
97,693.2628526151959,727.8683212555626,970,1059,0.6805573018152955,110.64073695400273,0.6013972351445683,97.44650316332336
98,669.1839968306372,703.9078248788937,613,648,0.6013972351445683,97.44650316332336,0.68703693341686,70.49536723394144
99,591.728797781446,608.8354774152256,411,387,0.68703693341686,70.49536723394144,0.6440352773251947,70.57667539014803
100,550.4101584470122,568.9848341906578,454,476,0.6440352773251947,70.57667539014803,0.6870053920899927,91.6635631019904
101,641.4871109129085,622.3893839334604,854,747,0.6870053920899927,91.6635631019904,0.6870053920899927,91.6635631019904
102,661.440977639036,646.5725687534223,708,703,0.6870053920899927,91.6635631019904,0.6538517320696426,87.34835069425007
103,649.3086843473251,638.9007981273955,621,621,0.6538517320696426,87.34835069425007,0.4265396358578758,64.64608367483635
104,560.4160790431275,559.7305586891769,353,375,0.4265396358578758,64.64608367483635,0.6729831421746917,113.99961771374164
105,657.4912553301892,639.9113910824237,884,827,0.6729831421746917,113.99961771374164,0.42299757601833693,60.849251601025045
106,564.0438787311324,558.6379737576966,346,369,0.42299757601833693,60.849251601025045,0.6836856601756933,60.617814484378705
107,521.4307151117927,511.0465816303876,422,400,0.6836856601756933,60.617814484378705,0.6153786458306632,96.98461696144999
108,586.4015005782549,585.1326071412714,738,758,0.6153786458306632,96.98461696144999,0.6629996489167413,96.36451901726386
109,631.2810504047784,634.5928249988899,736,750,0.6629996489167413,96.36451901726386,0.670289150766094,102.52412327434382
110,614.9967352833448,621.5149774992229,577,591,0.670289150766094,102.52412327434382,0.517231451962846,63.156958124169485
111,500.39771469834136,504.060484249456,233,230,0.517231451962846,63.156958124169485,0.6391735331540018,68.05513875990597
112,472.07840028883896,474.34233897461917,406,405,0.6391735331540018,68.05513875990597,0.5737833747080989,101.4236725682942
113,547.3548802021872,551.6396372822334,723,732,0.5737833747080989,101.4236725682942,0.6416679046921945,113.27574838948273
114,616.5484161415311,619.8477460975633,778,779,0.6416679046921945,113.27574838948273,0.48498253191306956,64.84049804424137
115,563.8838912990717,587.4934222682944,441,512,0.48498253191306956,64.84049804424137,0.5783615828724558,80.26611144224692
116,650.6187239093501,666.245395587806,853,850,0.5783615828724558,80.26611144224692,0.6164757326104324,60.68934980317364
117,609.3331067365451,631.9717769114642,513,552,0.6164757326104324,60.68934980317364,0.5513462300370074,70.09790126497947
118,577.7331747155815,595.6802438380249,504,511,0.5513462300370074,70.09790126497947,0.6024499455257266,83.5685384510587
119,579.613222300907,602.3761706866175,584,618,0.6024499455257266,83.5685384510587,0.6313194323847603,83.46503245576687
120,559.0292556106348,576.7633194806322,511,517,0.6313194323847603,83.46503245576687,0.5478800622501179,64.63944234078551
121,519.7204789274443,540.2343236364425,428,455,0.5478800622501179,64.63944234078551,0.5216402978752948,80.76145013496038
122,539.904335249211,558.1640265455097,587,600,0.5216402978752948,80.76145013496038,0.613933675020951,70.91754605167033
123,530.6330346744477,559.0148185818567,509,561,0.613933675020951,70.91754605167033,0.5315894209769212,88.97484794848282
124,600.9431242721134,625.3103730072996,765,780,0.5315894209769212,88.97484794848282,0.5274199231136136,110.72499094015735
125,692.4601869904793,726.0172611051098,906,961,0.5274199231136136,110.72499094015735,0.5770114673122404,78.65352164637775
126,669.5221308933354,688.2120827735769,616,600,0.5770114673122404,78.65352164637775,0.5808438347540283,62.75744910239626
127,609.0654916253347,620.0484579415038,468,461,0.5808438347540283,62.75744910239626,0.5808438347540283,62.75744910239626
128,557.4458441377343,562.4339205590526,437,428,0.5808438347540283,62.75744910239626,0.47019821448800475,74.72398171602357
129,532.4120908964139,536.5037443913368,474,476,0.47019821448800475,74.72398171602357,0.5631149303537971,115.26995736974308
130,616.2884636274897,603.5526210739357,812,760,0.5631149303537971,115.26995736974308,0.48438343345206114,109.51387174901225
131,647.4019245392428,644.186834751755,720,739,0.48438343345206114,109.51387174901225,0.484511788626201,80.84996669509687
132,606.7813471774699,619.8307843262285,512,563,0.484511788626201,80.84996669509687,0.5368420237828984,81.34550924189459
133,638.6469430242289,650.48154902836,713,722,0.5368420237828984,81.34550924189459,0.569483043462583,98.00111615623752
134,708.9528601169602,715.137084319852,873,866,0.569483043462583,98.00111615623752,0.43808572719981537,62.00279778912503
135,605.1670020818722,611.2959590238963,363,369,0.43808572719981537,62.00279778912503,0.6043573943710807,82.14753662062526
136,605.1169014573105,608.2071713167273,605,601,0.6043573943710807,82.14753662062526,0.5386774917904954,91.65799549647942
137,625.7818310201174,633.6450199217091,674,693,0.5386774917904954,91.65799549647942,0.5970889432169932,101.4448648944732
138,634.2472817140822,637.3515139451964,654,646,0.5970889432169932,101.4448648944732,0.6388801168730023,89.79509013129459
139,642.2730971998575,652.2460597616374,661,687,0.6388801168730023,89.79509013129459,0.5692189206615429,82.08328545036744
140,616.0911680399001,623.9722418331462,555,558,0.5692189206615429,82.08328545036744,0.6465009063037092,67.18124246973144
141,577.66381762793,584.9805692832024,488,494,0.6465009063037092,67.18124246973144,0.5954880965040478,75.28220222075004
142,570.564672339551,575.9863984982417,554,555,0.5954880965040478,75.28220222075004,0.5609688459901595,74.2193298711574
143,522.0952706376856,525.8904789487692,409,409,0.5609688459901595,74.2193298711574,0.6455428515470609,63.34932146427283
144,459.3666894463799,464.7233352641384,313,322,0.6455428515470609,63.34932146427283,0.6026251678420971,84.61360075489779
145,479.9566826124659,500.50633468489684,528,584,0.6026251678420971,84.61360075489779,0.6563768615958481,73.72321904848322
146,454.1696778287261,479.3544342794278,394,430,0.6563768615958481,73.72321904848322,0.609234849107303,73.92708466172054
147,442.41877448010825,465.7481039955994,415,434,0.609234849107303,73.92708466172054,0.6389751705293332,105.63909041991403
148,556.5931421360758,595.1236727969195,823,897,0.6389751705293332,105.63909041991403,0.5337915517554381,79.03312539826194
149,507.21519949525305,534.4865709578437,392,393,0.5337915517554381,79.03312539826194,0.6817282829226095,113.10069972644801
150,542.2506396466771,567.3405996704905,624,644,0.6817282829226095,113.10069972644801,0.5725974532066438,116.00013792492311
151,612.6754477526739,629.3384197693433,777,774,0.5725974532066438,116.00013792492311,0.4113966903679971,74.64212527253544
152,547.3728134268717,561.4368938385403,395,403,0.4113966903679971,74.64212527253544,0.650064928117585,74.30830503843723
153,476.4609693988102,492.0058256869782,311,330,0.650064928117585,74.30830503843723,0.49817794194829423,108.49876388902332
154,525.2226785791671,536.4040779808847,639,640,0.49817794194829423,108.49876388902332,0.6177046636081267,66.37246404741194
155,487.3558750054169,501.7828545866193,399,421,0.6177046636081267,66.37246404741194,0.662188261831961,66.18299736729064
156,459.0491125037918,469.7479982106335,393,395,0.662188261831961,66.18299736729064,0.5888021694184875,73.29991757687601
157,472.23437875265427,480.32359874744344,503,505,0.5888021694184875,73.29991757687601,0.6675135680251585,82.57693568052196
158,489.8640651268579,509.0265191232104,531,576,0.6675135680251585,82.57693568052196,0.500540611316496,91.43226300267634
159,542.4048455888005,554.9185633862472,665,662,0.500540611316496,91.43226300267634,0.6092082703244609,109.12872896748995
160,580.3833919121603,590.642994370373,669,674,0.6092082703244609,109.12872896748995,0.626228983808919,84.7984054457889
161,577.2683743385121,601.550096059261,570,627,0.626228983808919,84.7984054457889,0.6312513054802322,86.81018939831088
162,557.9878620369584,589.6850672414827,513,562,0.6312513054802322,86.81018939831088,0.6434588942185403,77.89581322918248
163,515.3915034258708,552.8795470690378,416,467,0.6434588942185403,77.89581322918248,0.5761466936947579,77.73612474035576
164,508.3740523981096,536.7156829483265,492,499,0.5761466936947579,77.73612474035576,0.5951310770380092,65.7184439400677
165,498.0618366786767,526.3009780638286,474,502,0.5951310770380092,65.7184439400677,0.5446150891168303,60.644199441428555
166,461.1432856750737,478.21068464468,375,366,0.5446150891168303,60.644199441428555,0.5959379884530253,99.78213640677448
167,481.80029997255156,496.747479251276,530,540,0.5959379884530253,99.78213640677448,0.5936180551213553,74.7509576576332
168,437.46020998078603,456.92323547589314,334,364,0.5936180551213553,74.7509576576332,0.5833732167223258,61.72201177741281
169,397.4221469865502,414.94626483312516,304,317,0.5833732167223258,61.72201177741281,0.6802099062672154,89.87394887088706
170,402.99550289058516,442.86238538318764,416,508,0.6802099062672154,89.87394887088706,0.652558253738546,60.88231167133459
171,377.7968520234096,410.5036697682313,319,335,0.652558253738546,60.88231167133459,0.6666188422348811,60.95686214353474
172,377.8577964163867,406.7525688377619,378,398,0.6666188422348811,60.95686214353474,0.5278866994513391,85.16750153674155
173,429.2004574914707,450.3267981864333,549,552,0.5278866994513391,85.16750153674155,0.4201509478196833,110.13071542741598
174,472.04032024402943,487.7287587305033,572,575,0.4201509478196833,110.13071542741598,0.5820426291492672,77.43173314517023
175,439.32822417082053,450.0101311113523,363,362,0.5820426291492672,77.43173314517023,0.5417376352765402,82.99033630270638
176,426.02975691957437,456.6070917779466,395,472,0.5417376352765402,82.99033630270638,0.46977785668494176,83.76487115439687
177,432.92082984370205,462.1249642445626,449,475,0.46977785668494176,83.76487115439687,0.5595547829317348,80.7267381147711
178,440.14458089059144,459.6874749711938,457,454,0.5595547829317348,80.7267381147711,0.5539127080133828,67.67486379899009
179,424.201206623414,443.58123247983565,387,406,0.5539127080133828,67.67486379899009,0.5102975051693228,105.7507708559825
180,486.84084463638976,507.3068627358849,633,656,0.5102975051693228,105.7507708559825,0.5696641072117207,104.37650487141069
181,489.5885912454728,509.0148039151194,496,513,0.5696641072117207,104.37650487141069,0.6737913371241642,81.45440692422628
182,420.1120138718309,438.21036274058355,258,273,0.6737913371241642,81.45440692422628,0.5959332594210751,81.9863225340405
183,382.2784097102816,393.7472539184085,294,290,0.5959332594210751,81.9863225340405,0.6826671100084062,62.34419729455041
184,351.5948867971971,322.42307774288594,280,156,0.6826671100084062,62.34419729455041,0.6871864769577446,118.884573234053
185,439.616420758038,383.19615442002015,645,525,0.6871864769577446,118.884573234053,0.602836734802433,106.8133445211064
186,425.93149453062654,443.1373080940141,394,583,0.602836734802433,106.8133445211064,0.6858652782136456,114.00242977970898
187,430.4520461714385,392.99611566580984,441,276,0.6858652782136456,114.00242977970898,0.6078009802852019,66.07159959502725
188,336.7164323200069,310.49728096606685,118,118,0.6078009802852019,66.07159959502725,0.6872147793618111,81.65526920900516
189,339.8015026240048,233.2480966762468,347,53,0.6872147793618111,81.65526920900516,0.6862762731883914,60.69895246146321
190,290.96105183680334,204.07366767337277,177,136,0.6862762731883914,60.69895246146321,0.6862762731883914,116.07629937082923
191,359.6727362857623,227.4515673713609,520,282,0.6862762731883914,116.07629937082923,0.5999961449498205,88.9183738055619
192,347.7709154000336,254.61609715995263,320,318,0.5999961449498205,88.9183738055619,0.6843934189596954,63.96455968222858
193,325.3396407800235,260.7312680119668,273,275,0.6843934189596954,63.96455968222858,0.6216289361508157,70.94460468722147
